"insee_code","year","n_AEP","n_SOU","n_SUP","n_tot"
"01001",2015,0,43,0,43
"01001",2017,0,115,27,142
"01001",2018,0,117,14,131
"01001",2019,0,41,27,68
"01001",2020,0,0,78,78
"01002",2015,0,0,43,43
"01002",2017,0,53,62,115
"01002",2018,0,117,59,176
"01002",2019,0,231,115,346
"01002",2020,0,104,0,104
"01004",2015,0,0,43,43
"01004",2017,0,53,62,115
"01004",2018,0,117,59,176
"01004",2019,0,231,115,346
"01004",2020,0,104,0,104
"01005",2015,0,43,0,43
"01005",2017,0,115,27,142
"01005",2018,0,117,14,131
"01005",2019,0,41,27,68
"01005",2020,0,0,78,78
"01006",2015,0,0,43,43
"01006",2017,0,0,62,62
"01006",2018,0,0,59,59
"01006",2019,0,0,115,115
"01007",2017,0,53,27,80
"01007",2018,0,117,14,131
"01007",2019,0,231,27,258
"01007",2020,0,104,78,182
"01008",2015,0,0,43,43
"01008",2017,0,53,62,115
"01008",2018,0,117,59,176
"01008",2019,0,231,115,346
"01008",2020,0,104,0,104
"01009",2015,0,0,43,43
"01009",2017,0,0,62,62
"01009",2018,0,0,59,59
"01009",2019,0,0,115,115
"01010",2015,0,0,6,6
"01010",2018,0,0,14,14
"01010",2019,0,0,27,27
"01010",2020,0,0,14,14
"01011",2015,0,0,6,6
"01011",2018,0,0,14,14
"01011",2019,0,0,27,27
"01011",2020,0,0,14,14
"01012",2015,0,0,43,43
"01012",2017,0,0,62,62
"01012",2018,0,0,59,59
"01012",2019,0,0,115,115
"01013",2015,0,0,43,43
"01013",2017,0,0,62,62
"01013",2018,0,0,59,59
"01013",2019,0,0,115,115
"01014",2015,0,0,6,6
"01014",2018,0,0,14,14
"01014",2019,0,0,27,27
"01014",2020,0,0,14,14
"01015",2015,0,0,43,43
"01015",2017,0,0,62,62
"01015",2018,0,0,59,59
"01015",2019,0,0,115,115
"01016",2017,0,0,27,27
"01016",2018,0,0,14,14
"01016",2019,0,0,27,27
"01016",2020,0,0,14,14
"01017",2015,0,0,43,43
"01017",2017,0,0,62,62
"01017",2018,0,0,59,59
"01017",2019,0,0,115,115
"01019",2015,0,0,43,43
"01019",2017,0,0,62,62
"01019",2018,0,0,59,59
"01019",2019,0,0,115,115
"01021",2015,0,43,0,43
"01021",2017,0,115,27,142
"01021",2018,0,117,14,131
"01021",2019,0,41,27,68
"01021",2020,0,0,78,78
"01022",2015,0,0,6,6
"01022",2018,0,0,14,14
"01022",2019,0,0,27,27
"01022",2020,0,0,14,14
"01023",2017,0,0,27,27
"01023",2018,0,0,14,14
"01023",2019,0,0,27,27
"01023",2020,0,0,14,14
"01024",2017,0,0,27,27
"01024",2018,0,0,14,14
"01024",2019,0,0,27,27
"01024",2020,0,0,78,78
"01025",2017,0,0,27,27
"01025",2018,0,0,14,14
"01025",2019,0,0,27,27
"01025",2020,0,0,78,78
"01026",2017,0,0,27,27
"01026",2018,0,0,14,14
"01026",2019,0,0,27,27
"01026",2020,0,0,14,14
"01027",2017,0,53,27,80
"01027",2018,0,117,14,131
"01027",2019,0,231,27,258
"01027",2020,0,104,78,182
"01028",2015,0,43,0,43
"01028",2017,0,115,27,142
"01028",2018,0,117,14,131
"01028",2019,0,41,27,68
"01028",2020,0,0,78,78
"01029",2017,0,0,27,27
"01029",2018,0,0,14,14
"01029",2019,0,0,27,27
"01029",2020,0,0,14,14
"01030",2015,0,43,0,43
"01030",2017,0,115,27,142
"01030",2018,0,117,14,131
"01030",2019,0,41,27,68
"01030",2020,0,0,78,78
"01031",2015,0,0,43,43
"01031",2017,0,0,62,62
"01031",2018,0,0,59,59
"01031",2019,0,0,115,115
"01032",2017,0,53,27,80
"01032",2018,0,117,14,131
"01032",2019,0,231,27,258
"01032",2020,0,104,78,182
"01033",2015,0,43,6,49
"01033",2017,0,53,0,53
"01033",2018,0,117,14,131
"01033",2019,0,231,27,258
"01033",2020,0,0,14,14
"01034",2015,0,0,43,43
"01034",2017,0,0,62,62
"01034",2018,0,0,14,14
"01034",2019,0,0,27,27
"01034",2020,0,0,14,14
"01035",2015,0,0,6,6
"01035",2018,0,0,14,14
"01035",2019,0,0,27,27
"01035",2020,0,0,14,14
"01036",2015,0,0,6,6
"01036",2018,0,0,14,14
"01036",2019,0,0,27,27
"01036",2020,0,0,14,14
"01037",2015,0,0,43,43
"01037",2017,0,0,62,62
"01037",2018,0,0,59,59
"01037",2019,0,0,115,115
"01038",2017,0,0,27,27
"01038",2018,0,0,14,14
"01038",2019,0,0,27,27
"01038",2020,0,0,14,14
"01040",2017,0,0,27,27
"01040",2018,0,0,14,14
"01040",2019,0,0,27,27
"01040",2020,0,0,14,14
"01041",2015,0,0,43,43
"01041",2017,0,53,62,115
"01041",2018,0,117,59,176
"01041",2019,0,231,115,346
"01041",2020,0,104,0,104
"01042",2015,0,43,0,43
"01042",2017,0,115,27,142
"01042",2018,0,117,14,131
"01042",2019,0,41,27,68
"01042",2020,0,0,78,78
"01043",2015,0,43,0,43
"01043",2017,0,115,27,142
"01043",2018,0,117,14,131
"01043",2019,0,41,27,68
"01043",2020,0,0,78,78
"01044",2015,0,0,6,6
"01044",2018,0,0,14,14
"01044",2019,0,0,27,27
"01044",2020,0,0,14,14
"01045",2015,0,43,0,43
"01045",2017,0,115,27,142
"01045",2018,0,117,14,131
"01045",2019,0,41,27,68
"01045",2020,0,0,78,78
"01046",2015,0,43,0,43
"01046",2017,0,115,27,142
"01046",2018,0,117,14,131
"01046",2019,0,41,27,68
"01046",2020,0,0,78,78
"01047",2017,0,53,27,80
"01047",2018,0,117,14,131
"01047",2019,0,231,27,258
"01047",2020,0,104,78,182
"01049",2017,0,53,27,80
"01049",2018,0,117,14,131
"01049",2019,0,41,27,68
"01049",2020,0,0,78,78
"01050",2017,0,0,27,27
"01050",2018,0,0,14,14
"01050",2019,0,0,27,27
"01050",2020,0,0,14,14
"01051",2015,0,0,43,43
"01051",2017,0,0,62,62
"01051",2018,0,0,59,59
"01051",2019,0,0,115,115
"01052",2015,0,43,0,43
"01052",2017,0,115,27,142
"01052",2018,0,117,14,131
"01052",2019,0,41,27,68
"01052",2020,0,0,78,78
"01053",2015,0,43,0,43
"01053",2017,0,115,27,142
"01053",2018,0,117,14,131
"01053",2019,0,41,27,68
"01053",2020,0,0,78,78
"01054",2017,0,53,27,80
"01054",2018,0,117,14,131
"01054",2019,0,41,27,68
"01054",2020,0,0,78,78
"01056",2015,0,0,43,43
"01056",2017,0,53,62,115
"01056",2018,0,117,59,176
"01056",2019,0,231,115,346
"01056",2020,0,104,0,104
"01057",2017,0,0,27,27
"01057",2018,0,0,14,14
"01057",2019,0,0,27,27
"01057",2020,0,0,14,14
"01058",2015,0,0,43,43
"01058",2017,0,0,62,62
"01058",2018,0,0,59,59
"01058",2019,0,0,115,115
"01060",2015,0,0,6,6
"01060",2018,0,0,14,14
"01060",2019,0,0,27,27
"01060",2020,0,0,14,14
"01061",2015,0,0,43,43
"01061",2017,0,0,62,62
"01061",2018,0,0,59,59
"01061",2019,0,0,115,115
"01062",2017,0,53,27,80
"01062",2018,0,117,14,131
"01062",2019,0,41,27,68
"01062",2020,0,0,78,78
"01063",2015,0,0,43,43
"01063",2017,0,0,62,62
"01063",2018,0,0,59,59
"01063",2019,0,0,115,115
"01064",2015,0,0,43,43
"01064",2017,0,0,62,62
"01064",2018,0,0,59,59
"01064",2019,0,0,115,115
"01065",2015,0,43,0,43
"01065",2017,0,115,27,142
"01065",2018,0,117,14,131
"01065",2019,0,41,27,68
"01065",2020,0,0,78,78
"01066",2015,0,0,43,43
"01066",2017,0,0,62,62
"01066",2018,0,0,59,59
"01066",2019,0,0,115,115
"01067",2015,0,0,43,43
"01067",2017,0,0,62,62
"01067",2018,0,0,59,59
"01067",2019,0,0,115,115
"01068",2015,0,0,43,43
"01068",2017,0,0,62,62
"01068",2018,0,0,59,59
"01068",2019,0,0,115,115
"01069",2015,0,43,0,43
"01069",2017,0,115,27,142
"01069",2018,0,117,14,131
"01069",2019,0,41,27,68
"01069",2020,0,0,78,78
"01071",2015,0,43,6,49
"01071",2017,0,53,0,53
"01071",2018,0,117,14,131
"01071",2019,0,231,27,258
"01071",2020,0,0,14,14
"01072",2015,0,43,0,43
"01072",2017,0,115,27,142
"01072",2018,0,117,14,131
"01072",2019,0,41,27,68
"01072",2020,0,0,14,14
"01073",2015,0,0,6,6
